ptf, etaf, rapidity
-1.204000, 1.497500, -1.200392
-1.204000, 1.536000, -1.200570
-1.204000, 1.574500, -1.200735
-1.204000, 1.613000, -1.200888
-1.204000, 1.651500, -1.201031
-1.204000, 1.690000, -1.201164
-1.204000, 1.728500, -1.201288
-1.204000, 1.767000, -1.201405
-1.204000, 1.805500, -1.201514
-1.204000, 1.844000, -1.201616
-1.204000, 1.882500, -1.201713
-1.204000, 1.921000, -1.201803
-1.204000, 1.959500, -1.201888
-1.204000, 1.998000, -1.201969
-1.204000, 2.036500, -1.202045
-1.204000, 2.075000, -1.202116
-1.204000, 2.113500, -1.202184
-1.204000, 2.152000, -1.202248
-1.204000, 2.190500, -1.202309
-1.204000, 2.229000, -1.202367
-1.204000, 2.267500, -1.202422
-1.204000, 2.306000, -1.202474
-1.204000, 2.344500, -1.202524
-1.204000, 2.383000, -1.202571
-1.204000, 2.421500, -1.202616
-1.204000, 2.460000, -1.202659
-1.204000, 2.498500, -1.202700
-1.204000, 2.537000, -1.202739
-1.204000, 2.575500, -1.202776
-1.204000, 2.614000, -1.202812
-1.204000, 2.652500, -1.202846
-1.204000, 2.691000, -1.202879
-1.204000, 2.729500, -1.202910
-1.204000, 2.768000, -1.202940
-1.204000, 2.806500, -1.202969
-1.204000, 2.845000, -1.202997
-1.204000, 2.883500, -1.203023
-1.204000, 2.922000, -1.203049
