ptf, phif, pti, pti/ptf
0.200000, -0.879646, 1.878846, 9.394228
0.200000, -0.816814, 1.868786, 9.343932
0.200000, -0.753982, 1.859254, 9.296270
0.200000, -0.691150, 1.850294, 9.251472
0.200000, -0.628319, 1.841952, 9.209759
0.200000, -0.565487, 1.834268, 9.171338
0.200000, -0.502655, 1.827281, 9.136403
0.200000, -0.439823, 1.821027, 9.105134
0.200000, -0.376991, 1.815538, 9.077691
0.200000, -0.314159, 1.810844, 9.054218
0.200000, -0.251327, 1.806968, 9.034840
0.200000, -0.188496, 1.803932, 9.019659
0.200000, -0.125664, 1.801751, 9.008757
0.200000, -0.062832, 1.800438, 9.002192
0.200000, 0.000000, 1.800000, 9.000000
0.200000, 0.062832, 1.800438, 9.002192
0.200000, 0.125664, 1.801751, 9.008757
0.200000, 0.188496, 1.803932, 9.019659
0.200000, 0.251327, 1.806968, 9.034840
0.200000, 0.314159, 1.810844, 9.054218
0.200000, 0.376991, 1.815538, 9.077691
0.200000, 0.439823, 1.821027, 9.105134
0.200000, 0.502655, 1.827281, 9.136403
0.200000, 0.565487, 1.834268, 9.171338
0.200000, 0.628319, 1.841952, 9.209759
0.200000, 0.691150, 1.850294, 9.251472
0.200000, 0.753982, 1.859254, 9.296270
0.200000, 0.816814, 1.868786, 9.343932
0.200000, 0.879646, 1.878846, 9.394228
0.200000, 0.942478, 1.889384, 9.446920
0.200000, 1.005310, 1.900352, 9.501761
0.200000, 1.068142, 1.911700, 9.558500
0.200000, 1.130973, 1.923376, 9.616882
0.200000, 1.193805, 1.935330, 9.676648
0.200000, 1.256637, 1.947508, 9.737539
0.200000, 1.319469, 1.959859, 9.799296
0.200000, 1.382301, 1.972332, 9.861662
0.200000, 1.445133, 1.984876, 9.924381
0.200000, 1.507964, 1.997440, 9.987201
0.200000, 1.570796, 2.009975, 10.049876
0.200000, 1.633628, 2.022432, 10.112162
0.200000, 1.696460, 2.034765, 10.173823
0.200000, 1.759292, 2.046926, 10.234629
0.200000, 1.822124, 2.058872, 10.294358
0.200000, 1.884956, 2.070559, 10.352794
0.200000, 1.947787, 2.081946, 10.409731
0.200000, 2.010619, 2.092994, 10.464969
0.200000, 2.073451, 2.103664, 10.518321
0.200000, 2.136283, 2.113921, 10.569604
0.200000, 2.199115, 2.123730, 10.618649
0.200000, 2.261947, 2.133059, 10.665293
0.200000, 2.324779, 2.141877, 10.709386
0.200000, 2.387610, 2.150157, 10.750785
0.200000, 2.450442, 2.157872, 10.789359
0.200000, 2.513274, 2.164997, 10.824987
