etaf, phif, dF
-4.600000, 0.140000, 0.001559
-4.600000, 0.160000, 0.001540
-4.600000, 0.180000, 0.001519
-4.600000, 0.200000, 0.001496
-4.600000, 0.220000, 0.001471
-4.600000, 0.240000, 0.001444
-4.600000, 0.260000, 0.001416
-4.600000, 0.280000, 0.001387
-4.600000, 0.300000, 0.001356
-4.600000, 0.320000, 0.001325
-4.600000, 0.340000, 0.001293
-4.600000, 0.360000, 0.001260
-4.600000, 0.380000, 0.001227
-4.600000, 0.400000, 0.001193
-4.600000, 0.420000, 0.001159
-4.600000, 0.440000, 0.001126
-4.600000, 0.460000, 0.001092
-4.600000, 0.480000, 0.001059
-4.600000, 0.500000, 0.001025
-4.600000, 0.520000, 0.000992
-4.600000, 0.540000, 0.000960
-4.600000, 0.560000, 0.000928
-4.600000, 0.580000, 0.000897
-4.600000, 0.600000, 0.000866
-4.600000, 0.620000, 0.000836
-4.600000, 0.640000, 0.000807
-4.600000, 0.660000, 0.000778
-4.600000, 0.680000, 0.000750
-4.600000, 0.700000, 0.000723
-4.600000, 0.720000, 0.000697
-4.600000, 0.740000, 0.000671
-4.600000, 0.760000, 0.000647
-4.600000, 0.780000, 0.000623
-4.600000, 0.800000, 0.000600
-4.600000, 0.820000, 0.000577
-4.600000, 0.840000, 0.000556
-4.600000, 0.860000, 0.000535
-4.600000, 0.880000, 0.000515
-4.600000, 0.900000, 0.000495
-4.600000, 0.920000, 0.000477
-4.600000, 0.940000, 0.000459
-4.600000, 0.960000, 0.000442
-4.600000, 0.980000, 0.000425
-4.600000, 1.000000, 0.000409
-4.500000, -1.000000, 0.000413
-4.500000, -0.980000, 0.000429
-4.500000, -0.960000, 0.000445
-4.500000, -0.940000, 0.000463
-4.500000, -0.920000, 0.000481
-4.500000, -0.900000, 0.000499
-4.500000, -0.880000, 0.000519
-4.500000, -0.860000, 0.000539
-4.500000, -0.840000, 0.000560
-4.500000, -0.820000, 0.000582
-4.500000, -0.800000, 0.000604
-4.500000, -0.780000, 0.000627
-4.500000, -0.760000, 0.000651
-4.500000, -0.740000, 0.000676
-4.500000, -0.720000, 0.000702
-4.500000, -0.700000, 0.000728
-4.500000, -0.680000, 0.000756
-4.500000, -0.660000, 0.000784
-4.500000, -0.640000, 0.000812
-4.500000, -0.620000, 0.000842
-4.500000, -0.600000, 0.000872
-4.500000, -0.580000, 0.000903
-4.500000, -0.560000, 0.000934
-4.500000, -0.540000, 0.000966
-4.500000, -0.520000, 0.000999
-4.500000, -0.500000, 0.001032
-4.500000, -0.480000, 0.001065
-4.500000, -0.460000, 0.001099
-4.500000, -0.440000, 0.001133
-4.500000, -0.420000, 0.001167
-4.500000, -0.400000, 0.001200
-4.500000, -0.380000, 0.001234
-4.500000, -0.360000, 0.001268
-4.500000, -0.340000, 0.001300
-4.500000, -0.320000, 0.001333
-4.500000, -0.300000, 0.001364
-4.500000, -0.280000, 0.001395
-4.500000, -0.260000, 0.001424
-4.500000, -0.240000, 0.001453
-4.500000, -0.220000, 0.001479
-4.500000, -0.200000, 0.001504
-4.500000, -0.180000, 0.001528
-4.500000, -0.160000, 0.001549
-4.500000, -0.140000, 0.001568
-4.500000, -0.120000, 0.001585
-4.500000, -0.100000, 0.001600
-4.500000, -0.080000, 0.001612
-4.500000, -0.060000, 0.001622
-4.500000, -0.040000, 0.001629
